,Unnamed: 0,name,nba_career_length,Games,Points,Rebounds,Assists,FGP,FTP,EFGP,best_year,TFGP,WS,url,allstar
0,0,Alaa Abdelnaby,5.0,134.0,8.5,3.7,0.4,59.9,72.8,59.9,3.0,,,abdelal01.html,False
1,1,Mahmoud Abdul-Rauf,9.0,64.0,29.0,3.0,3.6,47.4,86.3,53.5,3.0,37.2,,abdulma02.html,False
2,2,Tariq Abdul-Wahad,6.0,87.0,13.6,5.4,1.3,47.7,72.6,50.4,3.0,32.2,,abdulta01.html,False
3,3,Shareef Abdur-Rahim,12.0,28.0,21.1,8.4,1.0,51.8,68.3,52.8,4.0,38.1,5.4,abdursh01.html,True
4,4,Tom Abernethy,5.0,110.0,5.9,3.7,1.1,53.3,68.9,,2.0,,,abernto01.html,False
5,5,Alex Acker,2.0,88.0,14.5,5.6,2.8,45.7,82.3,51.8,2.0,41.1,9.0,ackeral01.html,False
6,6,Mark Acres,6.0,110.0,18.5,9.6,2.0,56.4,69.6,,3.0,,,acresma01.html,False
7,7,Alvan Adams,13.0,73.0,23.4,12.8,,53.9,70.2,,1.0,,,adamsal01.html,True
8,8,Don Adams,7.0,71.0,15.0,10.9,,42.1,71.9,,1.0,,,adamsdo01.html,False
9,9,Hassan Adams,2.0,130.0,14.0,5.4,2.0,49.9,70.4,52.4,1.0,31.1,15.2,adamsha01.html,False
10,10,Jordan Adams,2.0,69.0,16.4,4.6,2.1,46.7,83.9,52.9,1.0,33.1,11.2,adamsjo01.html,False
11,11,Michael Adams,11.0,119.0,13.9,2.7,4.0,47.0,75.0,,4.0,,,adamsmi01.html,True
12,12,Rafael Addison,6.0,126.0,14.9,5.2,2.5,53.4,76.3,,4.0,,,addisra01.html,False
13,13,Jeff Adrien,5.0,133.0,12.1,8.5,1.1,51.5,60.6,51.6,4.0,33.3,17.3,adrieje01.html,False
14,14,Arron Afflalo,11.0,104.0,14.8,3.5,1.9,45.7,78.1,54.9,1.0,37.3,13.8,afflaar01.html,False
15,15,Maurice Ager,4.0,124.0,12.5,3.4,1.5,44.1,77.5,52.7,2.0,38.0,11.2,agerma01.html,False
16,16,Mark Aguirre,13.0,89.0,24.5,7.9,3.3,54.6,76.8,,7.0,,,aguirma01.html,True
17,17,Danny Ainge,14.0,118.0,20.9,4.6,4.6,52.6,81.6,,9.0,,,aingeda01.html,True
18,18,Solomon Alabi,2.0,77.0,9.1,5.4,0.4,53.4,74.5,53.4,2.0,0.0,8.3,alabiso01.html,False
19,19,Mark Alarie,5.0,133.0,16.1,6.3,1.1,55.0,79.7,,4.0,,,alarima01.html,False
20,20,Cole Aldrich,8.0,111.0,9.4,7.7,0.6,57.4,72.9,57.4,5.0,,16.5,aldrico01.html,False
21,21,Chuck Aleksinas,1.0,96.0,10.1,5.0,0.3,56.1,72.1,,1.0,,,aleksch01.html,False
22,22,Cory Alexander,7.0,85.0,15.1,3.5,4.7,42.7,69.8,49.3,2.0,33.6,,alexaco01.html,False
23,23,Courtney Alexander,3.0,112.0,18.9,3.9,2.2,45.6,76.7,50.3,2.0,36.2,11.6,alexaco02.html,False
24,24,Joe Alexander,2.0,82.0,12.1,4.8,2.0,44.7,76.5,47.8,1.0,29.5,9.5,alexajo01.html,False
25,25,Victor Alexander,5.0,111.0,17.0,7.3,1.1,61.1,63.5,61.1,2.0,0.0,,alexavi01.html,False
26,26,Steve Alford,4.0,125.0,19.5,2.8,3.1,53.3,89.8,,2.0,,,alforst01.html,False
27,27,Jerome Allen,2.0,109.0,13.7,4.4,4.6,41.7,72.2,49.0,2.0,34.3,,allenje01.html,False
28,28,Lavoy Allen,6.0,135.0,10.5,8.5,2.1,53.4,67.1,54.2,2.0,28.8,19.2,allenla01.html,False
